,resistance,voltage,current,time,pre_rect,post_rect,labels
21565,6,250,DC,215.65,0.41015625,7.87109375,L
21566,6,250,DC,215.66,0.4296875,7.869873046875,L
21567,6,250,DC,215.67000000000002,0.4541015625,7.867431640625,L
21568,6,250,DC,215.68,0.46630859375,7.86865234375,L
21569,6,250,DC,215.69,0.46875,7.86865234375,L
21570,6,250,DC,215.70000000000002,0.455322265625,7.86865234375,L
21571,6,250,DC,215.71,0.43701171875,7.867431640625,L
21572,6,250,DC,215.72,0.411376953125,7.867431640625,L
21573,6,250,DC,215.73000000000002,0.400390625,7.86865234375,L
21574,6,250,DC,215.74,0.404052734375,7.87109375,L
21575,6,250,DC,215.75,0.423583984375,7.87109375,L
21576,6,250,DC,215.76,0.4443359375,7.872314453125,L
21577,6,250,DC,215.77,0.46875,7.872314453125,L
21578,6,250,DC,215.78,0.47607421875,7.87353515625,L
21579,6,250,DC,215.79,0.46875,7.872314453125,L
21580,6,250,DC,215.8,0.44921875,7.86865234375,L
21581,6,250,DC,215.81,0.416259765625,7.867431640625,L
21582,6,250,DC,215.82,0.39306640625,7.8662109375,L
21583,6,250,DC,215.83,0.382080078125,7.860107421875,L
21584,6,250,DC,215.84,0.390625,7.857666015625,L
21585,6,250,DC,215.85,0.411376953125,7.857666015625,L
21586,6,250,DC,215.86,0.433349609375,7.855224609375,L
21587,6,250,DC,215.87,0.452880859375,7.8564453125,L
21588,6,250,DC,215.88,0.460205078125,7.855224609375,L
21589,6,250,DC,215.89000000000001,0.44921875,7.85400390625,L
21590,6,250,DC,215.9,0.426025390625,7.85400390625,L
21591,6,250,DC,215.91,0.401611328125,7.855224609375,L
21592,6,250,DC,215.92000000000002,0.3857421875,7.855224609375,L
21593,6,250,DC,215.93,0.382080078125,7.855224609375,L
21594,6,250,DC,215.94,0.396728515625,7.855224609375,L
21595,6,250,DC,215.95000000000002,0.42236328125,7.8564453125,L
21596,6,250,DC,215.96,0.445556640625,7.8564453125,L
21597,6,250,DC,215.97,0.4638671875,7.857666015625,L
21598,6,250,DC,215.98000000000002,0.46630859375,7.860107421875,L
21599,6,250,DC,215.99,0.45166015625,7.860107421875,L
21600,6,250,DC,216.0,0.4296875,7.861328125,L
21601,6,250,DC,216.01,0.4052734375,7.864990234375,L
21602,6,250,DC,216.02,0.394287109375,7.86376953125,L
21603,6,250,DC,216.03,0.400390625,7.867431640625,L
21604,6,250,DC,216.04,0.421142578125,7.86865234375,L
21605,6,250,DC,216.05,0.44677734375,7.86865234375,L
21606,6,250,DC,216.06,0.465087890625,7.87109375,L
21607,6,250,DC,216.07,0.474853515625,7.86865234375,L
21608,6,250,DC,216.08,0.465087890625,7.86865234375,L
21609,6,250,DC,216.09,0.447998046875,7.86865234375,L
21610,6,250,DC,216.1,0.4248046875,7.869873046875,L
21611,6,250,DC,216.11,0.406494140625,7.869873046875,L
21612,6,250,DC,216.12,0.396728515625,7.87109375,L
21613,6,250,DC,216.13,0.408935546875,7.87109375,L
21614,6,250,DC,216.14000000000001,0.430908203125,7.872314453125,L
21615,6,250,DC,216.15,0.4541015625,7.87109375,L
21616,6,250,DC,216.16,0.46875,7.87109375,L
21617,6,250,DC,216.17000000000002,0.472412109375,7.869873046875,L
21618,6,250,DC,216.18,0.458984375,7.86865234375,L
21619,6,250,DC,216.19,0.438232421875,7.86865234375,L
21620,6,250,DC,216.20000000000002,0.41748046875,7.86865234375,L
21621,6,250,DC,216.21,0.39794921875,7.86865234375,L
21622,6,250,DC,216.22,0.40283203125,7.869873046875,L
21623,6,250,DC,216.23000000000002,0.416259765625,7.869873046875,L
21624,6,250,DC,216.24,0.439453125,7.872314453125,L
21625,6,250,DC,216.25,0.460205078125,7.872314453125,L
21626,6,250,DC,216.26,0.4736328125,7.869873046875,L
21627,6,250,DC,216.27,0.46875,7.86865234375,L
21628,6,250,DC,216.28,0.452880859375,7.869873046875,L
21629,6,250,DC,216.29,0.423583984375,7.867431640625,L
21630,6,250,DC,216.3,0.401611328125,7.867431640625,L
21631,6,250,DC,216.31,0.390625,7.864990234375,L
21632,6,250,DC,216.32,0.394287109375,7.864990234375,L
21633,6,250,DC,216.33,0.416259765625,7.864990234375,L
21634,6,250,DC,216.34,0.44189453125,7.862548828125,L
21635,6,250,DC,216.35,0.4638671875,7.8662109375,L
21636,6,250,DC,216.36,0.469970703125,7.864990234375,L
21637,6,250,DC,216.37,0.462646484375,7.8662109375,L
21638,6,250,DC,216.38,0.4443359375,7.867431640625,L
21639,6,250,DC,216.39000000000001,0.419921875,7.86865234375,L
21640,6,250,DC,216.4,0.404052734375,7.867431640625,L
21641,6,250,DC,216.41,0.39794921875,7.86865234375,L
21642,6,250,DC,216.42000000000002,0.413818359375,7.87353515625,L
21643,6,250,DC,216.43,0.43701171875,7.872314453125,L
21644,6,250,DC,216.44,0.462646484375,7.87353515625,L
21645,6,250,DC,216.45000000000002,0.482177734375,7.874755859375,L
21646,6,250,DC,216.46,0.478515625,7.874755859375,L
21647,6,250,DC,216.47,0.46630859375,7.8759765625,L
21648,6,250,DC,216.48000000000002,0.44189453125,7.8759765625,L
21649,6,250,DC,216.49,0.419921875,7.8759765625,L
21650,6,250,DC,216.5,0.404052734375,7.8759765625,L
21651,6,250,DC,216.51,0.406494140625,7.8759765625,L
21652,6,250,DC,216.52,0.4248046875,7.877197265625,L
21653,6,250,DC,216.53,0.447998046875,7.8759765625,L
21654,6,250,DC,216.54,0.467529296875,7.877197265625,L
