2025-11-14 09:03:48.043286 74 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 3, 'num_estimators': 32, 'max_depth': 8, 'window_seconds': 9, 'num_subwindows': 4, 'subwindow_freq': 11, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4633272898344812
2025-11-14 09:08:16.166842 75 {'augment_factor': 4, 'chunk_seconds': 10, 'num_freqs': 4, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 5, 'subwindow_freq': 5, 'use_window_slope': True, 'use_subwindow_slope': True} 0.38373124092116884
2025-11-14 09:09:37.237417 76 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 1, 'num_estimators': 8, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 3, 'subwindow_freq': 10, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4347071884947869
2025-11-14 09:16:49.215081 77 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 2, 'num_estimators': 16, 'max_depth': 32, 'window_seconds': 9, 'num_subwindows': 19, 'subwindow_freq': 4, 'use_window_slope': True, 'use_subwindow_slope': True} 0.42160674791278213
2025-11-14 09:31:09.666145 78 {'augment_factor': 4, 'chunk_seconds': 3, 'num_freqs': 3, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 10, 'num_subwindows': 6, 'subwindow_freq': 9, 'use_window_slope': True, 'use_subwindow_slope': True} 0.44529926097552947
2025-11-14 09:35:36.430939 79 {'augment_factor': 4, 'chunk_seconds': 8, 'num_freqs': 5, 'num_estimators': 128, 'max_depth': 4, 'window_seconds': 2, 'num_subwindows': 4, 'subwindow_freq': 8, 'use_window_slope': True, 'use_subwindow_slope': True} 0.35894175092795017
2025-11-14 09:36:54.084576 80 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 5, 'num_estimators': 128, 'max_depth': 256, 'window_seconds': 9, 'num_subwindows': 2, 'subwindow_freq': 6, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4552533851125998
2025-11-14 09:43:36.422224 81 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 5, 'subwindow_freq': 7, 'use_window_slope': True, 'use_subwindow_slope': True} 0.48078092130798006
2025-11-14 09:54:34.911014 82 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 5, 'subwindow_freq': 7, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4697482463614114
2025-11-14 10:05:32.998709 83 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 1, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 9, 'num_subwindows': 5, 'subwindow_freq': 8, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4669844613441175
2025-11-14 10:16:44.346256 84 {'augment_factor': 4, 'chunk_seconds': 2, 'num_freqs': 3, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 8, 'num_subwindows': 4, 'subwindow_freq': 9, 'use_window_slope': True, 'use_subwindow_slope': True} 0.47521494313439144
2025-11-14 10:21:40.084894 85 {'augment_factor': 8, 'chunk_seconds': 1, 'num_freqs': 4, 'num_estimators': 64, 'max_depth': 128, 'window_seconds': 7, 'num_subwindows': 3, 'subwindow_freq': 5, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4710783400759834
2025-11-14 10:29:11.627179 86 {'augment_factor': 4, 'chunk_seconds': 3, 'num_freqs': 2, 'num_estimators': 128, 'max_depth': 8, 'window_seconds': 8, 'num_subwindows': 6, 'subwindow_freq': 7, 'use_window_slope': True, 'use_subwindow_slope': True} 0.4651789096878607
2025-11-14 10:33:20.940490 87 {'augment_factor': 4, 'chunk_seconds': 1, 'num_freqs': 1, 'num_estimators': 128, 'max_depth': 32, 'window_seconds': 9, 'num_subwindows': 8, 'subwindow_freq': 10, 'use_window_slope': True, 'use_subwindow_slope': False} 0.4603284222453219
