2025-11-21 14:58:58.443983 6 {'augment_factor': 8, 'chunk_seconds': 1.663448552097863, 'num_freqs': 1, 'num_estimators': 209, 'learning_rate': 0.03504326688954815, 'max_depth': 6, 'min_samples_split': 18, 'min_samples_leaf': 8, 'subsample': 0.9922014438730243, 'window_seconds': 2} 0.3660770994952096
2025-11-21 15:05:10.699906 7 {'augment_factor': 8, 'chunk_seconds': 1.578939897842323, 'num_freqs': 15, 'num_estimators': 217, 'learning_rate': 0.14860944918605548, 'max_depth': 7, 'min_samples_split': 12, 'min_samples_leaf': 7, 'subsample': 0.9081776598879207, 'window_seconds': 3} 0.39881109432060885
2025-11-21 15:16:32.146697 8 {'augment_factor': 1, 'chunk_seconds': 1.884782059331674, 'num_freqs': 9, 'num_estimators': 93, 'learning_rate': 0.2438700273836288, 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 7, 'subsample': 0.9877658032081921, 'window_seconds': 5} 0.3936111034644872
2025-11-21 15:19:11.681694 9 {'augment_factor': 4, 'chunk_seconds': 1.0701744271474953, 'num_freqs': 7, 'num_estimators': 379, 'learning_rate': 0.016167278227470862, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 10, 'subsample': 0.8338550092545196, 'window_seconds': 5} 0.41323618154995695
2025-11-21 15:36:40.989773 10 {'augment_factor': 2, 'chunk_seconds': 0.08455192679289592, 'num_freqs': 2, 'num_estimators': 324, 'learning_rate': 0.26754007651018313, 'max_depth': 3, 'min_samples_split': 3, 'min_samples_leaf': 10, 'subsample': 0.6135946150150671, 'window_seconds': 4} 0.3514440457048729
2025-11-21 16:59:16.093325 11 {'augment_factor': 2, 'chunk_seconds': 0.033539098525420585, 'num_freqs': 20, 'num_estimators': 256, 'learning_rate': 0.011752468583516055, 'max_depth': 8, 'min_samples_split': 15, 'min_samples_leaf': 4, 'subsample': 0.908893240388048, 'window_seconds': 4} 0.43790397601765907
2025-11-22 09:49:37.650126 12 {'augment_factor': 2, 'chunk_seconds': 0.01868573814414331, 'num_freqs': 14, 'num_estimators': 278, 'learning_rate': 0.010002953452512588, 'max_depth': 4, 'min_samples_split': 14, 'min_samples_leaf': 4, 'subsample': 0.9044808497559745, 'window_seconds': 5} 0.41848382036721493
2025-11-23 10:54:51.306468 13 {'augment_factor': 2, 'chunk_seconds': 0.6942382707599339, 'num_freqs': 5, 'num_estimators': 220, 'learning_rate': 0.13582669080454374, 'max_depth': 7, 'min_samples_split': 16, 'min_samples_leaf': 5, 'subsample': 0.7103373780712924, 'window_seconds': 4} 0.3696463175074667
2025-11-23 11:10:58.329893 14 {'augment_factor': 2, 'chunk_seconds': 0.4124732554861905, 'num_freqs': 16, 'num_estimators': 337, 'learning_rate': 0.1364570567865026, 'max_depth': 5, 'min_samples_split': 13, 'min_samples_leaf': 1, 'subsample': 0.8646464208580943, 'window_seconds': 3} 0.3896355666070504
2025-11-23 11:58:21.743268 15 {'augment_factor': 2, 'chunk_seconds': 0.22081905589248288, 'num_freqs': 12, 'num_estimators': 457, 'learning_rate': 0.019589092896649854, 'max_depth': 4, 'min_samples_split': 17, 'min_samples_leaf': 3, 'subsample': 0.7590847697468748, 'window_seconds': 5} 0.4393040799810389
